"Population, low access to store, 2015","Population, low access to store, 2019","Population, low access to store (%), 2015","Population, low access to store (%), 2019","Low income & low access to store, 2015","Low income & low access to store, 2019","Low income & low access to store (%), 2015","Low income & low access to store (%), 2019","Households, no car & low access to store, 2015","Households, no car & low access to store, 2019","Households, no car & low access to store (%), 2015","Households, no car & low access to store (%), 2019","SNAP households, low access to store, 2015","SNAP households, low access to store, 2019","SNAP households, low access to store (%), 2015","SNAP households, low access to store (%), 2019","Children, low access to store, 2015","Children, low access to store, 2019","Children, low access to store (%), 2015","Children, low access to store (%), 2019","Seniors, low access to store, 2015","Seniors, low access to store, 2019","Seniors, low access to store (%), 2015","Seniors, low access to store (%), 2019","White, low access to store, 2015","White, low access to store, 2019","White, low access to store (%), 2015","White, low access to store (%), 2019","Black, low access to store, 2015","Black, low access to store, 2019","Black, low access to store (%), 2015","Black, low access to store (%), 2019","Hispanic ethnicity, low access to store, 2015","Hispanic ethnicity, low access to store, 2019","Hispanic ethnicity, low access to store (%), 2015","Hispanic ethnicity, low access to store (%), 2019","Asian, low access to store, 2015","Asian, low access to store, 2019","Asian, low access to store (%), 2015","Asian, low access to store (%), 2019","American Indian or Alaska Native, low access to store, 2015","American Indian or Alaska Native, low access to store, 2019","American Indian or Alaska Native, low access to store (%), 2015","American Indian or Alaska Native, low access to store (%), 2019","Hawaiian or Pacific Islander, low access to store, 2015","Hawaiian or Pacific Islander, low access to store, 2019","Hawaiian or Pacific Islander, low access to store (%), 2015","Hawaiian or Pacific Islander, low access to store (%), 2019","Multiracial, low access to store, 2015","Multiracial, low access to store, 2019","Multiracial, low access to store (%), 2015","Multiracial, low access to store (%), 2019",CountyFIPS
18092.66134775827,18503.22550647165,33.15435028076172,33.90670013427734,6835.642497242239,7105.688802947692,12.52614498138428,13.02099800109863,677.6727691801002,833.3602805208748,3.35133171081543,4.121261596679688,1822.537716439019,1827.866266518442,9.013093948364258,9.039445877075195,9721.503803802048,9971.883445498732,66.52640533447266,68.23980712890625,4245.641526044345,4390.856708393315,64.85856628417969,67.07694244384766,28592.1923587441,28862.96303588876,66.71845245361328,67.35028076171875,6645.162298866713,7296.379941351226,68.91177368164062,75.6650390625,790.1878473030656,799.9240537129962,60.31968307495117,61.06290435791016,188.4571427546991,176.3107630474074,39.75889205932617,37.19636535644531,161.6356471537043,171.0488983142394,69.67053985595703,73.72797393798828,15.71104120218658,16.21232013439294,49.09700393676758,50.66350173950195,866.714452384317,901.1938586392388,64.92243194580078,67.50515747070312,01001
46400.35064059054,45789.04652446477,25.4576301574707,25.12223815917969,15459.84841623139,14465.97089678134,8.482071876525879,7.936779499053955,1394.162766291713,1655.418160906506,1.905114412307739,2.262118339538574,4874.837779410395,4029.806873129076,6.661434650421143,5.506705284118652,30468.84882884532,30633.25269696783,72.72148895263672,73.11387634277344,21633.86301948018,21827.20784856055,70.77291107177734,71.4054183959961,114569.0545258445,115294.9551468269,73.36974334716797,73.83460998535156,10709.56545525063,10621.01310475619,62.6107292175293,62.09303283691406,5400.587833769795,5695.086080488088,67.57492065429688,71.25983428955078,792.9063229853878,806.744193432813,58.82094573974609,59.84749221801758,971.6156279892264,972.679112803562,79.90260314941406,79.99005889892578,51.30599553670721,50.69836160328241,57.64718627929688,56.96445083618164,4554.710750906699,4695.144751930068,71.68257141113281,73.89273834228516,01003
6683.975690525203,5634.362775824196,24.34342956542969,20.52067947387695,3251.362573996477,2864.635945904289,11.84165287017822,10.43317127227783,425.1449273669261,546.7308711991351,4.329378128051758,5.567523956298828,1357.606369968351,1647.90104938456,13.82491207122803,16.78106880187988,3752.692699510402,3700.172070829,62.3889045715332,61.51574325561523,2560.043174420273,2536.901339857572,65.49099731445312,64.89898681640625,9924.136303676136,9800.986708557104,75.29693603515625,74.3625717163086,8196.688098766816,8136.839756680631,63.66359710693359,63.19875717163086,1055.536003341303,1043.521962913556,76.10208892822266,75.23590087890625,65.27683196808498,66.1331819941784,61.00638580322266,61.80671310424805,101.1955826882451,101.1955826882452,88.76805877685547,88.76805877685547,13.96178555136974,11.71857237464246,48.14408874511719,40.40887069702148,896.003740590143,889.0585270031207,77.7780990600586,77.17521667480469,01005
295.6144259217978,365.1406630169328,1.290047645568848,1.593456983566284,164.9032952342705,102.1702427764508,0.7196303606033325,0.4458662271499634,224.3881246199943,311.4298722628229,2.821427345275879,3.915879249572754,972.1855549061028,712.3391725198471,12.22413635253906,8.95686149597168,4252.431905737501,4197.433367771914,81.76181030273438,80.70435333251953,2286.891977648773,2261.610313723075,78.69552612304688,77.82554626464844,14775.82753634755,14503.11039468802,85.0113754272461,83.44232177734375,3775.872254015998,2693.590997644411,74.81419372558594,53.37014007568359,304.3460568055765,267.3822762576187,74.96208190917969,65.85770416259766,16.57424254121706,16.57424254121708,75.33746337890625,75.33746337890625,50.48558284500866,52.26878482820722,78.88372039794922,81.66997528076172,3.91562053520465,5.54768629238242,30.12015724182129,42.67451095581055,295.7025647582997,288.842828415502,76.21199798583984,74.44403076171875,01007
5855.939160548365,3902.26607501136,10.2158670425415,6.807623863220215,2570.900480758877,1440.04673370409,4.485015392303467,2.512206077575684,719.9314440244484,752.4503532049247,3.336414098739624,3.487118244171143,2685.697326675425,1803.893775655063,12.44646072387695,8.359874725341797,12930.50999737817,12574.5875409517,91.66674041748048,89.14353942871094,7301.222108930615,7115.250985425515,86.51762390136719,84.31391143798828,48763.47709332291,47500.61012990944,91.88866424560548,89.50894927978516,552.1190313343355,543.9867734818956,72.5517807006836,71.48314666748047,3827.607929922981,3601.85098074289,82.74120330810547,77.86102294921875,84.02305434138549,80.6531536718937,71.8145751953125,68.93431854248047,279.7037542324138,271.4593706492197,91.10871124267578,88.42324829101562,36.18618490333206,36.18618490333206,95.22679901123048,95.22679901123048,2526.71316405281,2415.425022058723,83.36235809326172,79.6906967163086,01009
6099.953134361751,7479.749986703349,55.89108657836914,68.53353118896484,3192.409115160962,3529.499238879079,29.25058746337891,32.33919143676758,415.861300840737,333.7928573024195,11.10444068908691,8.913026809692383,488.9773568635949,700.8009623675339,13.05680561065674,18.71297645568848,1370.160540467559,1871.507744541823,56.38520812988281,77.01677703857422,1057.306544634442,1118.227119659385,71.97457885742188,76.12165832519531,2083.267435685053,2179.781596390701,83.0980224609375,86.94780731201172,5162.912413572751,5934.626016247439,67.34819030761719,77.4148941040039,113.5423269321342,614.2207017817874,14.61291217803955,79.05028533935547,3.52275062799344,3.89442937953754,17.6137523651123,19.47214698791504,17.00000028533973,17.26339039800803,73.91304779052734,75.05821990966797,0.0,42.9999998509884,0.0,100.0,124.0519498916036,530.7001811052108,18.93922805786133,81.0229263305664,01011
2478.01401142952,2508.385010009758,11.82992362976074,11.97491264343262,1414.129113319348,1449.173566119973,6.750986576080322,6.918286800384521,320.1683010409385,327.7462700473874,3.770678281784058,3.859925508499146,1306.982062043784,957.9047757876068,15.39255714416504,11.28141307830811,3004.039682060848,3012.907792836798,59.41534042358398,59.59074020385742,2122.73317759579,2131.388831214068,60.84073257446289,61.08881759643555,8280.54134982208,8305.811976329813,72.6427001953125,72.86439514160156,4450.384860626117,4465.421753256281,48.93221282958984,49.0975456237793,97.7777454368003,98.31642432130673,51.19253540039063,51.47456741333008,107.2189804739652,109.1390620894135,60.5756950378418,61.66048812866211,53.44587079148114,53.79284210960689,89.07645416259766,89.65473937988281,1.784310092974916,1.784310092974916,25.49014472961426,25.49014472961426,124.611602337636,125.1782979681867,59.62277603149414,59.8939208984375,01013
34221.44671332774,42575.2988115962,28.8613224029541,35.90670394897461,14477.22916570997,18257.80311190339,12.2096529006958,15.39807319641113,1235.289629494612,1384.829459637185,2.609895467758179,2.925840377807617,4332.731419282314,4734.61959990873,9.154109001159668,10.00321102142334,15128.23432801525,16630.65440348888,55.77023696899414,61.30890655517578,9286.13488475637,10095.13605551189,54.65647506713867,59.41810607910156,55009.06012920984,59153.16318060446,61.91924667358398,66.58393096923828,8514.050204830826,11085.9160796587,34.91940689086914,45.46762466430664,1661.730337118493,1870.859754595625,42.68508529663086,48.0570182800293,413.5256169274472,441.3316697518082,48.93794250488281,52.22859954833984,295.4375901429594,327.5019653875656,54.71066665649414,60.64851379394531,58.6849349945834,63.43134331895028,61.13014221191406,66.0743179321289,1743.570280197472,1937.105298135918,45.06513977050781,50.06733703613281,01015
6793.989973628832,6745.092804486572,19.85675811767578,19.71384620666504,3534.147353584306,2772.437498610431,10.32923412322998,8.102988243103027,730.2010667324245,607.9468913788519,5.240802764892578,4.363359451293945,1518.761380347125,1224.851113660679,10.90046215057373,8.791007995605469,4823.982031558285,4809.18216964847,62.62471771240234,62.43258666992188,3496.834656364687,3491.118988618661,61.28346633911133,61.18329620361328,13896.16733077552,13898.99838480275,69.09391021728516,69.10798645019531,7452.974631035395,7379.023173851609,56.21916580200195,55.66133499145508,272.5704919545701,266.9385916352063,50.85270309448242,49.80197525024414,143.4125652394258,143.4959014809691,85.3646240234375,85.41423034667969,53.4191927564765,53.4191927564766,77.41912078857422,77.41912078857422,0.999999996158294,0.999999996158294,10.0,10.0,295.8722896309974,288.8756806319054,49.39437103271484,48.22632217407227,01017
3518.586386153228,3505.996618269415,13.53875255584717,13.490309715271,1526.390176481249,1301.698633645024,5.873216152191162,5.008652210235596,299.8869228354855,360.6987682714341,2.822199583053589,3.394492387771606,1607.910346979662,1560.577789833968,15.13184928894043,14.68640899658203,5148.071469467366,5155.96838648315,92.49140167236328,92.6332778930664,4282.069756271978,4294.637198524981,92.06771850585938,92.33792877197266,22519.40420133566,22555.16617686063,93.5152359008789,93.66374206542967,882.8551667804417,881.5876253495519,73.08403778076172,72.97911071777344,299.9332948964872,301.039852871603,93.72915649414062,94.074951171875,46.10823457645152,46.10823457645165,85.3856201171875,85.3856201171875,130.0953194483866,129.9752490654344,96.36690521240234,96.27796173095705,1.00000000178988,1.00000000178989,100.0,100.0,461.7184294747138,464.3231657551086,90.53302764892578,91.04375457763672,01019
